"Name","State","User","Created","Runtime","activation","batch_size","epochs","lr","optimizer","project","seed","best_val_acc","epoch","train_acc","train_loss","val_acc","val_loss"
"dutiful-leaf-11","finished","","2025-10-21T06:29:46.000Z","18483","gelu","128","30","0.01","Nesterov","vgg6_cifar10","42","0.8672","30","0.9066222222222222","0.2671691849337684","0.8672","0.40679043933153153"
"rich-pond-2","finished","","2025-10-20T13:55:46.000Z","47426","gelu","128","30","0.01","sgd","vgg6_cifar10","42","0.8584","30","0.9024666666666666","0.28141945055325823","0.8562","0.4166759021282196"
"solar-sunset-1","finished","","2025-10-16T06:49:14.000Z","4559","relu","128","30","0.01","sgd","vgg6_cifar10","42","0.8536","30","0.8924888888888889","0.30671937477323746","0.8508","0.45762535910606383"
"honest-glade-15","finished","","2025-10-21T11:38:05.000Z","13188","relu","64","20","0.01","Nesterov","vgg6_cifar10","42","0.8482","20","0.881","0.3413413018332587","0.8416","0.4659195064306259"
"misunderstood-smoke-8","finished","","2025-10-21T03:24:09.000Z","19748","silu","128","30","0.01","sgd","vgg6_cifar10","42","0.8464","30","0.8896666666666667","0.3150919783618715","0.8464","0.4437496154785156"
"ethereal-energy-4","finished","","2025-10-20T14:11:54.000Z","8263","gelu","128","10","0.001","adam","vgg6_cifar10","42","0.8432","10","0.8681555555555556","0.3828416567113664","0.8386","0.4719482211172581"
"balmy-plasma-16","finished","","2025-10-21T11:49:12.000Z","13679","relu","256","30","0.01","Nesterov","vgg6_cifar10","42","0.8348","30","0.8566666666666667","0.4131130629963345","0.8348","0.4661357828617096"
"ruby-morning-6","finished","","2025-10-20T21:00:32.000Z","30965","silu","128","10","0.001","adam","vgg6_cifar10","42","0.8278","10","0.847","0.4454803525129954","0.8278","0.49958789922595026"
"astral-glitter-3","finished","","2025-10-20T14:03:14.000Z","46980","tanh","128","30","0.01","sgd","vgg6_cifar10","42","0.8258","30","0.8416222222222223","0.4588324611928728","0.8258","0.5034936514377594"
"eager-aardvark-21","finished","","2025-10-21T15:59:35.000Z","22663","silu","256","30","0.01","Nesterov","vgg6_cifar10","42","0.8004","30","0.8267777777777777","0.4972508922682869","0.8004","0.5635762933731079"
"dauntless-mountain-26","finished","","2025-10-22T02:41:45.000Z","8586","tanh","64","20","0.01","Nesterov","vgg6_cifar10","42","0.7922","20","0.7992888888888889","0.5912704926278856","0.7768","0.6493090223789215"
"brisk-night-12","finished","","2025-10-21T07:51:56.000Z","23288","tanh","64","30","0.001","adam","vgg6_cifar10","42","0.7226","30","0.705","0.8448571002960205","0.7202","0.7939412263870239"
"exalted-blaze-18","finished","","2025-10-21T15:51:19.000Z","27221","tanh","64","30","0.001","Adagrad","vgg6_cifar10","42","0.6896","30","0.6951111111111111","0.8751252129236857","0.6896","0.8809312105178833"
"dandy-grass-13","finished","","2025-10-21T09:13:32.000Z","12425","relu","64","10","0.01","Adagrad","vgg6_cifar10","42","0.6788","10","0.7123555555555555","0.8172791314125061","0.6788","0.9102637467384338"
